commit date git,commit sha,jira_id,affected versions,fixed version
2015-03-27T09:52:15Z,35b974c77973c525172db37acd06b1c0fb5982d7,SYNCOPE-655,[1.2.3],[1.2.4],2015-03-27T08:31:16.000+0000
2015-04-15T08:32:26Z,8187e7fbece3e5ecc4e7dbdb6ceace42785c1cbe,SYNCOPE-654,[1.2.3],[1.2.4  2.0.0-M1],2015-03-26T16:55:18.000+0000
2015-04-15T08:13:15Z,6a343e959303cf9bd1a5121fb7ee85205751309c,SYNCOPE-654,[1.2.3],[1.2.4  2.0.0-M1],2015-03-26T16:55:18.000+0000
2015-04-14T15:56:28Z,adc2f7f5229d716e282b71ad3f6d987dc9f32423,SYNCOPE-654,[1.2.3],[1.2.4  2.0.0-M1],2015-03-26T16:55:18.000+0000
2015-04-14T15:53:27Z,d2cc18c3518a534499c0b6737f096df251f976ab,SYNCOPE-654,[1.2.3],[1.2.4  2.0.0-M1],2015-03-26T16:55:18.000+0000
2015-04-14T14:33:45Z,c040d9e4e475ed6741aa6575bca0b94acfc5ae88,SYNCOPE-654,[1.2.3],[1.2.4  2.0.0-M1],2015-03-26T16:55:18.000+0000
2015-02-24T13:06:46Z,9f6dc6c28eb79839d62948055074789c925cc03a,SYNCOPE-647,[1.2.2],[1.2.3  2.0.0-M1],2015-02-23T17:28:50.000+0000
2015-02-24T08:38:14Z,c1e6b586445237da5e2e1eb75f2f12c0c591e852,SYNCOPE-647,[1.2.2],[1.2.3  2.0.0-M1],2015-02-23T17:28:50.000+0000
2015-02-18T13:56:53Z,4b8b58b867572dbadf2240e337e62f7a6ce9f554,SYNCOPE-644,[1.2.2],[1.2.3  2.0.0-M1],2015-02-18T10:29:04.000+0000
2015-02-18T13:09:48Z,2f7fc8993042ee816eb5d24fbb29d7ab7de7091a,SYNCOPE-644,[1.2.2],[1.2.3  2.0.0-M1],2015-02-18T10:29:04.000+0000
2015-02-16T13:55:52Z,c981971c97e06bbdbb83584585650b34eebe5f36,SYNCOPE-643,[1.1.8  1.2.2],[1.1.9  1.2.3  2.0.0-M1],2015-02-16T08:54:09.000+0000
2015-02-16T13:54:12Z,d01ed120bbf99c92bdbeece7986ccf466785f5de,SYNCOPE-643,[1.1.8  1.2.2],[1.1.9  1.2.3  2.0.0-M1],2015-02-16T08:54:09.000+0000
