versione,file,LOC Touched, metrica2, metrica3, metrica4, metrica5, metrica6, metrica7, metrica8, metrica9, bugginess
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Logout.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/PolicyModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ReportExecResultDownloadModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Reports.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Resources.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/RoleModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Roles.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/SchedTaskModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Schema.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/SchemaModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/StatusModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/SyncTaskModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/TaskModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Tasks.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Todo.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/UserModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/UserRequestModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/UserTemplateModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/Users.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/VirtualSchemaModalPage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/WelcomePage.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/AccountInformationPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/AttributesPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/DerivedAttributesPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/JQueryTabbedPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/NotificationTasks.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/PoliciesPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/PolicyBeanPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/PropagationTasks.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceConnConfPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceDetailsPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceMappingPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/ResourceSecurityPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/ResourcesPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/ResultSetPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/RoleAttributesPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/RoleSecurityPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/RoleSummaryPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/RoleTabPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/RolesPanel.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/SchedTasks.java,0,0,0,0,0,0,0,0,0,No
1.0.0-incubating,console/src/main/java/org/apache/syncope/console/pages/panels/StatusPanel.java,0,0,0,0,0,0,0,0,0,No
